filename,square,ring,crack,bright_crack,hotspot,gridline_darkening,near_busbar,busbar_crack,shattered
SHELL_M55_6330431040_F0201-0070_cell32.jpg,0.9945176,0.0015934516,0.035366885,0.0014613284,0.07256758,0.001265481,0.0041747023,0.0024447576,0.00011145884
SHELL_M55_6330431040_F0201-0070_cell33.jpg,0.9806003,0.00096288155,0.021237884,0.0006718269,0.6179099,0.0006317762,0.0037149345,0.0009877788,8.126102e-05
SHELL_M55_6330431040_F0201-0070_cell34.jpg,0.9934129,0.00088028953,0.028282998,0.001444585,0.17923099,0.0006325925,0.0047388603,0.0013132403,0.00020027776
SHELL_M55_6330431040_F0201-0070_cell35.jpg,0.9897572,0.00093158754,0.027107045,0.0007529434,0.43514234,0.0011229663,0.005036319,0.0013105758,9.239998e-05
SHELL_M55_6330431040_F0201-0070_cell4.jpg,0.99204856,0.0004934119,0.029775932,0.0011932083,0.47548294,0.0013084824,0.008226573,0.0015026296,0.00014696397
SHELL_M55_6330431040_F0201-0070_cell5.jpg,0.98089856,0.00067290285,0.031024827,0.00068444887,0.6018749,0.0010442039,0.0060125007,0.002523771,0.00010233087
SHELL_M55_6330431040_F0201-0070_cell6.jpg,0.99395376,0.00077020726,0.021458328,0.0013109116,0.20190763,0.0010450578,0.007115272,0.002447551,0.0001477642
SHELL_M55_6330431040_F0201-0070_cell7.jpg,0.99701273,0.00066394976,0.05696959,0.0015868745,0.10190783,0.0010845724,0.008476466,0.0032044903,0.00019296426
SHELL_M55_6330431040_F0201-0070_cell8.jpg,0.9850198,0.0008705184,0.042930026,0.0010767895,0.5403088,0.0013066051,0.0048663714,0.0028002453,0.00013617158
SHELL_M55_6330431040_F0201-0070_cell9.jpg,0.9986834,0.0003499687,0.02044685,0.0009674485,0.039808955,0.00077244843,0.003491191,0.0011965387,8.7445114e-05
SHELL_M55_6330431041_F0201-0025_cell0.jpg,0.9918321,0.0016515692,0.2552757,0.007302982,0.10864386,0.0039166315,0.0024318576,0.009662853,0.00052208593
SHELL_M55_6330431041_F0201-0025_cell1.jpg,0.9962542,0.001241882,0.094499625,0.01654914,0.01623026,0.0023194575,0.002606224,0.0052362727,0.0011864874
SHELL_M55_6330431041_F0201-0025_cell10.jpg,0.99760854,0.00030820494,0.035690513,0.0013428925,0.08509064,0.00022710463,0.0006198738,0.00066066685,0.00012943358
SHELL_M55_6330431041_F0201-0025_cell11.jpg,0.98828226,0.00059484376,0.04120937,0.0010420792,0.7660267,0.0007783189,0.0018554962,0.0013795905,0.00013385735
